Name,Caption
VizWiz_val_00000000.jpg,A computer screen shows a repair prompt on the screen.
VizWiz_val_00000000.jpg,a computer screen with a repair automatically pop up
VizWiz_val_00000000.jpg,partial computer screen showing the need of repairs
VizWiz_val_00000000.jpg,Part of a computer monitor showing a computer repair message.
VizWiz_val_00000000.jpg,The top of a laptop with a blue background and dark blue text.
VizWiz_val_00000001.jpg,A person is holding a bottle that has medicine for the night time.
VizWiz_val_00000001.jpg,A bottle of medication has a white twist top.
VizWiz_val_00000001.jpg,night time medication bottle being held by someone
VizWiz_val_00000001.jpg,a person holding a small black bottle of NIGHT TIME
VizWiz_val_00000001.jpg,A bottle of what appears to be cough syrup held in hand.
VizWiz_val_00000002.jpg,a white paper showing an image of black and brown dog
VizWiz_val_00000002.jpg,A library book with pictures of two dogs on the cover on a wooden table.
VizWiz_val_00000002.jpg,A book with a black and a tan dog walking down a snowy street.
VizWiz_val_00000002.jpg,The book cover shows two dogs in the snow
VizWiz_val_00000002.jpg,"A book cover title Dog Years with an image of a black and brown dog walking up the street, on the left side it has a due date sticker from a library."
VizWiz_val_00000003.jpg,A white box is to the left of a blue box on a wooden table.
VizWiz_val_00000003.jpg,A small rectangular red and white box next to a small rectangular blue box on a wooden surface.
VizWiz_val_00000003.jpg,"two boxes of  medicine, one white and red and the other blue sitting on a table"
VizWiz_val_00000003.jpg,Two boxes that appear to contain medication or eye drops
VizWiz_val_00000003.jpg,Two boxes of pharmaceutical products left in a table
VizWiz_val_00000004.jpg,close up of a computer monitor that is powered on.
VizWiz_val_00000004.jpg,A monitor has a message displayed on it.
VizWiz_val_00000004.jpg,Pictured here is a screenshot that shows an error message from an app.
VizWiz_val_00000004.jpg,Computer screen displaying an error saying the display driver is not supported by Zoom Text.
VizWiz_val_00000004.jpg,a screenshot of someone's monitor that is having issues
VizWiz_val_00000005.jpg,a DELL laptop computer screen  showing window 7 home premium
VizWiz_val_00000005.jpg,A computer screen with a windows dialogue box containing the login.
VizWiz_val_00000005.jpg,Computer screen showing a Windows 7 home premium window with a Dell logo on it.
VizWiz_val_00000005.jpg,A dell laptop with windows 7 home screen.
VizWiz_val_00000005.jpg,window screen of dell desktop or laptop showed box of windows 7
VizWiz_val_00000006.jpg,Quality issues are too severe to recognize visual content.
VizWiz_val_00000006.jpg,Quality issues are too severe to recognize visual content.
VizWiz_val_00000006.jpg,Quality issues are too severe to recognize visual content.
VizWiz_val_00000006.jpg,Quality issues are too severe to recognize visual content.
VizWiz_val_00000006.jpg,Quality issues are too severe to recognize visual content.
VizWiz_val_00000007.jpg,Quality issues are too severe to recognize visual content.
VizWiz_val_00000007.jpg,Quality issues are too severe to recognize visual content.
VizWiz_val_00000007.jpg,Quality issues are too severe to recognize visual content.
VizWiz_val_00000007.jpg,A close-up of a package of a computer-related item.
VizWiz_val_00000007.jpg,"A device with Microsoft and Hewlett Packard logos, but too blurry to tell what it is"
